Date,Open,Close,High,Low,Volume_(BTC),Volume_(Currency),Weighted_Price
2015-01-01,345.0,340.0,345.0,340.0,0.0,0.0,342.5
2015-01-02,345.0,340.0,345.0,340.0,0.0,0.0,342.5
2015-01-03,345.0,340.0,345.0,340.0,0.0,0.0,342.5
2015-01-04,345.0,340.0,345.0,340.0,0.0,0.0,342.5
2015-01-05,345.0,340.0,345.0,340.0,0.0,0.0,342.5
2015-01-06,345.0,340.0,345.0,340.0,0.0,0.0,342.5
2015-01-07,360.0,307.57,360.0,264.81,5.0,1511.8972,302.3981942237963
2015-01-08,314.96,288.99,314.96,265.5,12.24,3538.0049,289.1436150362391
2015-01-09,314.96,288.99,314.96,265.5,0.0,0.0,289.1436150362391
2015-01-10,314.96,288.99,314.96,265.5,0.0,0.0,289.1436150362391
2015-01-11,314.96,288.99,314.96,265.5,0.0,0.0,289.1436150362391
2015-01-12,260.0,260.0,260.0,260.0,82.0,21320.0,260.0
2015-01-13,260.0,219.63,260.0,200.0,1143.99,297274.9092,248.71591666666666
2015-01-14,219.63,150.0,220.0,109.87,219.27730962,40719.4750524282,168.58433657960418
2015-01-15,150.0,189.0,225.5,150.0,52.25737546,9290.940003040001,169.3392309493611
2015-01-16,189.0,210.0,210.0,189.0,19.856,3919.3896,194.27693275461803
2015-01-17,210.0,184.0,210.0,184.0,18.429,3855.474,209.1065024184133
2015-01-18,210.0,225.51,225.51,210.0,39.31,8266.1121,214.17125
2015-01-19,225.51,225.51,225.51,225.51,14.4,3247.344,225.50999999999996
2015-01-20,225.51,224.0,225.51,208.0,13.039,2879.4953,221.15406845240278
2015-01-21,224.0,246.62,257.73,216.59,15.8584025,3690.103647775,226.90011024907636
2015-01-22,252.41,226.32,254.45,217.59,15.65,3588.1566,227.39110416666668
2015-01-23,226.32,216.0,235.0,215.0,25.440070000000002,5831.53625,225.11675
2015-01-24,216.0,250.91,255.05,216.0,202.34338528,50502.32041576,230.89615999551387
2015-01-25,250.91,283.28,290.0,245.32,3578.682728,926981.53188488,254.0948515507986
2015-01-26,283.28,260.53,322.72,241.43,10974.7262806,3144261.759823344,278.67623210218056
2015-01-27,261.49,256.76,267.5,244.03,2243.92808743,583886.7475552501,260.26232662786805
2015-01-28,256.75,236.15,262.0,228.5,7766.30196304,1904788.6569355472,248.17171478719445
2015-01-29,236.45,237.0,240.0,221.14,7276.84874866,1692572.1656586085,233.2592881185278
2015-01-30,236.98,227.9,244.59,226.24,8109.8915471,1886945.769187373,232.79134838856945
2015-01-31,227.2,219.08,234.67,216.16,7247.30236529,1642480.3411501434,227.43260142505557
2015-02-01,219.07,228.28,233.79,210.0,8659.29718627,1931111.5333079745,221.9453594340625
2015-02-02,228.28,238.05,242.0,220.89,9615.19757792,2206706.939286975,228.9113067899861
2015-02-03,238.07,227.39,243.9,225.32,9919.31816966,2332750.4011233705,234.95221503977777
2015-02-04,227.4,225.69,230.99,221.5,9220.2227403,2082913.907016566,225.85816844839582
2015-02-05,226.21,217.1,227.15,215.0,9094.299990129999,2002080.411163674,221.60885878340972
2015-02-06,217.04,224.83,226.64,216.03,5257.27673152,1170726.2259777829,222.01574062979861
2015-02-07,224.66,226.76,230.5,223.35,4788.60733722,1090012.5223481865,227.49134777521527
2015-02-08,226.76,223.5,231.6,220.0,5554.15449802,1247609.2911672685,225.11394865988194
2015-02-09,223.34,218.89,224.43,216.45,6350.55171001,1399207.744316225,221.0418412017778
2015-02-10,218.66,222.32,223.61,215.0,8486.348928379999,1864821.227971226,219.1610537293264
2015-02-11,222.2,218.7,223.2,217.46,8580.17259167,1893295.391384904,220.87291566401387
2015-02-12,218.7,224.25,225.0,218.0,8359.11592012,1853128.465488193,221.1915500821528
2015-02-13,224.32,241.06,242.36,224.24,15698.06421346,3707063.296522911,236.1820421438264
2015-02-14,241.06,257.47,263.13,239.92,16428.31497745,4134873.547679521,250.69000484565973
2015-02-15,257.46,232.34,267.86,228.0,16321.36541341,3969043.077708186,244.60075471506252
2015-02-16,232.34,235.32,241.0,231.44,10293.91370587,2428202.7661313447,235.5449156485764
2015-02-17,234.84,244.3,248.0,234.55,18725.75411241,4529960.53954526,240.95189352036112
2015-02-18,244.42,236.79,246.0,231.93,11521.80974528,2739940.6700421628,239.18429297527777
2015-02-19,236.94,245.0,245.0,236.0,10174.56927069,2448821.3439352014,239.83108413122915
2015-02-20,245.0,246.24,248.32,241.76,10782.00859604,2640453.959953224,245.22984009484722
2015-02-21,246.24,246.22,248.43,244.0,6477.34882295,1592653.9037487374,245.78405125533334
2015-02-22,246.22,237.64,246.92,234.01,8693.27948812,2076857.482817576,240.74786379204164
2015-02-23,237.59,239.84,241.03,232.0,10622.94653291,2528274.630530562,237.85893846997917
2015-02-24,239.83,240.1,241.91,235.51,8731.97994375,2088971.6330187162,239.1433512176042
2015-02-25,240.09,237.11,240.15,234.33,9244.28066161,2199254.367586747,238.1009481060069
